Problem Size,Direct Sum,Vector Sum,Indirect Sum
2^23,6990.51,2706.00,18.41
2^24,6990.51,2796.20,14.28
2^25,6990.51,2892.62,12.63
2^26,6990.51,2867.90,11.98
2^27,7027.11,2995.93,11.66
2^28,7008.76,3161.78,11.51
