Problem Size,Direct Sum,Vector Sum,Indirect Sum
"8,388,608",0.0012,0.0031,0.4557
"16,777,216",0.0024,0.0060,1.1745
"33,554,432",0.0048,0.0116,2.6571
"67,108,864",0.0096,0.0234,5.6006
"134,217,728",0.0191,0.0448,11.5144
"268,435,456",0.0383,0.0849,23.3188
