Problem Size,Direct Sum,Vector Sum,Indirect Sum
"8,388,608",0.0079,0.0096,0.4636
"16,777,216",0.0161,0.0192,1.2290
"33,554,432",0.0317,0.0384,2.7563
"67,108,864",0.0634,0.0771,5.8213
"134,217,728",0.1265,0.1537,11.9472
"268,435,456",0.2531,0.3074,24.4849
