Problem Size,Direct Sum,Vector Sum,Indirect Sum
2^23,"1,061.8",873.8,18.1
2^24,"1,042.1",873.8,13.7
2^25,"1,058.5",873.8,12.2
2^26,"1,058.5",870.4,11.5
2^27,"1,061.0",873.2,11.2
2^28,"1,060.6",873.2,11.0
