Problem Size,Direct Sum,Vector Sum,Indirect Sum
2^23,0.00,1.14,55.27
2^24,0.00,1.14,73.25
2^25,0.00,1.14,82.14
2^26,0.00,1.15,86.74
2^27,0.00,1.15,89.01
2^28,0.00,1.15,91.21
