Sample,Width,Height,Depth,Collapse,Loop Order,Threads,Schedule,Chunk Size,Elapsed Time
32,512,288,32,enabled,YX,8,Guided,1,4.3758
32,512,288,32,enabled,YX,16,Guided,1,3.57395
32,512,288,32,enabled,YX,32,Guided,1,2.50186
32,512,288,32,enabled,YX,64,Guided,1,1.74081
32,512,288,32,enabled,YX,128,Guided,1,1.30568
32,512,288,32,enabled,YX,256,Guided,1,1.06697
32,512,288,32,disabled,YX,1,Auto,1,19.9603
32,512,288,32,disabled,YX,2,Auto,1,13.3695
32,512,288,32,disabled,YX,4,Auto,1,8.44381
32,512,288,32,disabled,YX,8,Auto,1,5.47899
32,512,288,32,disabled,YX,16,Auto,1,3.83849
32,512,288,32,disabled,YX,32,Auto,1,2.6969
32,512,288,32,disabled,YX,64,Auto,1,1.85164
32,512,288,32,disabled,YX,128,Auto,1,1.29266
32,512,288,32,disabled,YX,256,Auto,1,1.06266
32,512,288,32,enabled,YX,1,Auto,1,20.3323
32,512,288,32,enabled,YX,2,Auto,1,13.3636
32,512,288,32,enabled,YX,4,Auto,1,8.51833
32,512,288,32,enabled,YX,8,Auto,1,5.31038
32,512,288,32,enabled,YX,16,Auto,1,3.81852
32,512,288,32,enabled,YX,32,Auto,1,2.68475
32,512,288,32,enabled,YX,64,Auto,1,1.88512
32,512,288,32,enabled,YX,128,Auto,1,1.3755
32,512,288,32,enabled,YX,256,Auto,1,1.1229
32,512,288,32,disabled,XY,1,Static,0,19.8546
32,512,288,32,disabled,XY,2,Static,0,12.6293
32,512,288,32,disabled,XY,4,Static,0,7.71169
32,512,288,32,disabled,XY,8,Static,0,4.98921
32,512,288,32,disabled,XY,16,Static,0,3.86556
32,512,288,32,disabled,XY,32,Static,0,2.71393
32,512,288,32,disabled,XY,64,Static,0,1.8451
32,512,288,32,disabled,XY,128,Static,0,1.32001
32,512,288,32,disabled,XY,256,Static,0,1.04938
32,512,288,32,disabled,XY,1,Dynamic,1,19.9607
32,512,288,32,disabled,XY,2,Dynamic,1,12.4124
